"","participant","univ","vote","confident","comment","id","question"
"8930","richard thaler","Chicago","Strongly Agree","8","Of course the use of the tax revenue is key. Question: why do no GOP candidates favor such policies? Answer: more anti tax than pro market<br>",146,1
"8931","christopher udry","Yale","Agree","8","Congestion fees can serve well to match private costs with social costs, as long as they are implemented with minimal transaction costs. <br>",146,1
"8932","luigi zingales","Chicago","Strongly Agree","8","",146,1
"8933","daron acemoglu","MIT","Strongly Agree","7","",147,1
"8934","alberto alesina","Harvard","Agree","8","",147,1
"8935","joseph altonji","Yale","Strongly Agree","6","",147,1
"8936","alan auerbach","Berkeley","Strongly Agree","9","",147,1
"8937","david autor","MIT","Strongly Agree","9","See Chris Knittel's forthcoming paper in Journal of Economic Perspectives on this topic: Reducing Petroleum Consumption from Transportation<br>",147,1
"8938","katherine baicker","Chicago","Agree","4","Taxing the externality would be much more efficient than CAFE - but the challenge is getting the tax rate right<br>",147,1
"8939","marianne bertrand","Chicago","Agree","4","",147,1
"8940","raj chetty","Stanford","Strongly Agree","7","",147,1
"8941","judith chevalier","Yale","Agree","8","That is not to suggest that a carbon cap and trade program is necessarily worse than a tax. But CAFE worse.<br>",147,1
"8942","janet currie","Princeton","Agree","7","",147,1
"8943","david cutler","Harvard","Agree","7","",147,1
"8944","angus deaton","Princeton","Strongly Agree","5","",147,1
"8945","darrell duffie","Stanford","Strongly Agree","2","The indirect route of fleet fuel standards causes distortions in the auto industry and fails to capture other sources of C02 emissions.<br>",147,1
"8946","aaron edlin","Berkeley","Strongly Agree","9","Always better to be direct. So long as administration of a fuel tax is as easy as other indirect regulation it is better.<br>",147,1
"8947","barry eichengreen","Berkeley","Agree","6","",147,1
"8948","ray fair","Yale","Agree","5","",147,1
"8949","pinelopi goldberg","Yale","Uncertain","6","Too vague... It is not clear how this tax would be implemented.<br>",147,1
"8950","claudia goldin","Harvard","Strongly Agree","4","",147,1
"8951","austan goolsbee","Chicago","Agree","4","the one is specifically aimed at carbon so seems almost tautological. not necess true for other considerations like natl security etc<br>",147,1
"8952","michael greenstone","Chicago","Strongly Agree","8","",147,1
"8953","robert hall","Stanford","Strongly Agree","7","totally basic economics! <br>",147,1
"8954","bengt holmstrom","MIT","Agree","5","If social cost sensitive to total emissions or hard to measure, quantity controls may be better than tax. <br>",147,1
"8955","caroline hoxby","Stanford","Did Not Answer","","",147,1
"8956","kenneth judd","Stanford","Strongly Agree","9","If the objective is to reduce GHGs then the best policy is to tax GHG emissions. CAFE standards will initially do little.<br>",147,1
"8957","anil kashyap","Chicago","Agree","2","",147,1
"8958","pete klenow","Stanford","Strongly Agree","7","Would help equalize marginal cost across sources. Revenue can keep marginal tax rates on work, saving lower than otherwise.<br><a href=""http://www.economics.harvard.edu/faculty/mankiw/files/Smart%20Taxes.pdf"" target=""_blank-see background information here</a><br>",147,1
"8959","edward lazear","Stanford","Disagree","5","This compares two ineffective approaches. The magnitude of this problem is so great that no sufficient carbon tax is feasible worldwide.<br>",147,1
"8960","jonathan levin","Stanford","Agree","3","In principle, yes. In practice, would depend a huge amount on the design of the tax vs other policies, so hard to give a blanket answer.<br>",147,1
"8961","eric maskin","Harvard","Agree","7","",147,1
"8962","william nordhaus","Yale","Strongly Agree","9","Many studies on this, see RfF on national energy policies, Dec 2010 as example.<br>",147,1
"8963","maurice obstfeld","Berkeley","Agree","5","",147,1
"8964","cecilia rouse","Princeton","Agree","5","I believe this to be the case in theory although in practice may be a more effective way to achieve environmental objectives.<br>",147,1
"8965","emmanuel saez","Berkeley","Agree","7","",147,1
"8966","jose scheinkman","Princeton","Strongly Agree","7","",147,1
"8967","richard schmalensee","MIT","Strongly Agree","8","",147,1
"8968","hyun song-shin","Princeton","Uncertain","4","",147,1
"8969","james stock","Harvard","Strongly Agree","6","",147,1
"8970","nancy stokey","Chicago","Strongly Agree","8","",147,1
"8971","richard thaler","Chicago","Strongly Agree","9","Since a carbon tax is politically infeasible how about hiking the gas tax by a dollar and then index it. We now have a negative carbon tax.<br>",147,1
"8972","christopher udry","Yale","Strongly Agree","8","This is as clear as economics gets; provides incentives to find minimally costly ways to reduce emissions.<br><a href=""http://www.economics.harvard.edu/faculty/mankiw/files/Smart%20Taxes.pdf"" target=""_blank-see background information here</a><br>",147,1
"8973","luigi zingales","Chicago","Strongly Agree","6","",147,1
"8974","daron acemoglu","MIT","Strongly Agree","5","Only caveat (more drugs today increase addiction, demand and prices in the future) seems insufficient to reverse basic supply-demand result.<br>",148,1
"8975","alberto alesina","Harvard","Strongly Agree","9","",148,1
"8976","joseph altonji","Yale","Agree","4","",148,1
"8977","alan auerbach","Berkeley","Agree","5","",148,1
"8978","david autor","MIT","Strongly Agree","9","See AER paper by Carlos Dobkin and Nancy Nicosi on price effects of the U.S. government's disruption of the methamphetamine market <br><a href=""http://people.ucsc.edu/~cdobkin/Papers/Methamphetamine.pdf"" target=""_blank-see background information here</a><br>",148,1
"8979","katherine baicker","Chicago","Agree","3","Also depends on demand response - may be more consumers if legal, expanding demand - but that seems likely to be smaller than supply effect<br>",148,1
"8980","marianne bertrand","Chicago","Agree","5","",148,1
"8981","raj chetty","Stanford","Did Not Answer","","",148,1
"8982","judith chevalier","Yale","Agree","8","Price increase isn't only due to risk-- constraints on production, costs of avoiding authority all raise MC.<br>",148,1
"8983","janet currie","Princeton","Agree","8","",148,1
"8984","david cutler","Harvard","Agree","7","""All else equal"" seems to imply something about taxation if legal. <br>",148,1
"8985","angus deaton","Princeton","Agree","7","Not sure what is ""all things equal,"" such as demand being constant, taxation of legal drugs, etc.<br>",148,1
"8986","darrell duffie","Stanford","Agree","2","",148,1
"8987","aaron edlin","Berkeley","Strongly Agree","10","Illegality leads to high prices and crime.<br>",148,1
"8988","barry eichengreen","Berkeley","Agree","6","",148,1
"8989","ray fair","Yale","Agree","6","",148,1
"8990","pinelopi goldberg","Yale","Agree","6","",148,1
"8991","claudia goldin","Harvard","Strongly Agree","8","Supply shifts to the left b/c of a host of factors including paying off authorities and related drug supply restrictions (plus added costs).<br>",148,1
"8992","austan goolsbee","Chicago","Agree","6","",148,1
"8993","michael greenstone","Chicago","Strongly Agree","8","",148,1
"8994","robert hall","Stanford","Strongly Agree","8","I claim no expertise on this subject but the proposition is basic economics<br>",148,1
"8995","bengt holmstrom","MIT","Strongly Agree","10","",148,1
"8996","caroline hoxby","Stanford","Strongly Agree","10","",148,1
"8997","kenneth judd","Stanford","Strongly Agree","10","",148,1
"8998","anil kashyap","Chicago","Strongly Agree","7","Basic micro economics<br>",148,1
"8999","pete klenow","Stanford","Strongly Agree","6","<a href=""http://www.nber.org/papers/w10976.pdf"" target=""_blank-see background information here</a><br>",148,1
"9000","edward lazear","Stanford","Agree","7","Quantities also adjust because of the effect on demand but the supply price is higher when drugs are illegal. <br>",148,1
"9001","jonathan levin","Stanford","Agree","4","Or reduces quality. Presumably illegality also reduces demand, but assuming cost increase is the more relevant &amp; applying Econ 1.<br>",148,1
"9002","eric maskin","Harvard","Agree","8","I'd imagine that the shorter supply of illegal drugs also makes them more expensive.<br>",148,1
"9003","william nordhaus","Yale","Strongly Agree","9","",148,1
"9004","maurice obstfeld","Berkeley","Strongly Agree","8","",148,1
"9005","cecilia rouse","Princeton","Did Not Answer","","",148,1
"9006","emmanuel saez","Berkeley","Strongly Agree","8","",148,1
"9007","jose scheinkman","Princeton","Strongly Agree","8","Consumers also face risk of punishment, but the evidence is that the effect on suppliers dominates - substantially raising street prices.<br>",148,1
"9008","richard schmalensee","MIT","Strongly Agree","8","Basic micro. Illegality also rules out some efficient forms of production &amp; distribution.<br>",148,1
"9009","hyun song-shin","Princeton","Did Not Answer","","",148,1
"9010","james stock","Harvard","Agree","5","",148,1
"9011","nancy stokey","Chicago","Strongly Agree","8","",148,1
"9012","richard thaler","Chicago","Strongly Agree","10","A test of whether the panel is awake. <br>",148,1
"9013","christopher udry","Yale","Agree","9","",148,1
"9014","luigi zingales","Chicago","Strongly Agree","10","",148,1
"9015","daron acemoglu","MIT","Strongly Agree","5","The US war on drugs appears to be a total and very costly failure, so alternatives have to be tried and this one seems to have worked well.<br>",148,2
"9016","alberto alesina","Harvard","Strongly Agree","9","",148,2
"9017","joseph altonji","Yale","Agree","5","",148,2
"9018","alan auerbach","Berkeley","Uncertain","3","",148,2
"9019","david autor","MIT","Strongly Agree","8","Marijuana is less dangerous than alcohol. Criminal enforcement for minor marijuana infractions is a waste of societal resources.<br>",148,2
"9020","katherine baicker","Chicago","Uncertain","2","Depends on ""social costs"" and how harms of drug use, effect on crime, policing efforts, tax revenue enter social welfare function.<br>",148,2
"9021","marianne bertrand","Chicago","Agree","5","",148,2
"9022","raj chetty","Stanford","Did Not Answer","","",148,2
"9023","judith chevalier","Yale","Uncertain","5","Too many poorly measured factors to have real certainty about this.<br>",148,2
"9024","janet currie","Princeton","Uncertain","7","This is an empirical question. Depends ion how the law affects social acceptance of drugs, whether soft drugs are gateway drugs, etc. <br>",148,2
"9025","david cutler","Harvard","Strongly Agree","7","",148,2
"9026","angus deaton","Princeton","Agree","7","",148,2
"9027","darrell duffie","Stanford","Uncertain","2","",148,2
"9028","aaron edlin","Berkeley","Agree","10","The current regime of drug enforcement has unacceptably high cost in crime and prison<br>",148,2
"9029","barry eichengreen","Berkeley","Agree","4","",148,2
"9030","ray fair","Yale","Agree","4","",148,2
"9031","pinelopi goldberg","Yale","Agree","6","yes, especially if combined with an anti-drug campaign similar to the campaign against smoking in the U.S.<br>",148,2
"9032","claudia goldin","Harvard","Strongly Agree","8","Depends on how ""moderate"" the tax is.<br>",148,2
"9033","austan goolsbee","Chicago","No Opinion","","",148,2
"9034","michael greenstone","Chicago","Uncertain","2","very difficult to judge. presumably, usage would be higher. does reduced productivity of users count as a social cost?<br>",148,2
"9035","robert hall","Stanford","Disagree","3","My limited understanding is that there is evidence of harm from cannabis.<br>",148,2
"9036","bengt holmstrom","MIT","Uncertain","2","",148,2
"9037","caroline hoxby","Stanford","Uncertain","10","The evidence on this is very unclear because many of the consequences are not only hard to estimate, but hard to value. See Pudney papers..<br><a href=""http://www.iser.essex.ac.uk/publication/518089"" target=""_blank-see background information here</a><br><a href=""http://www.iser.essex.ac.uk/publication/518027"" target=""_blank-see background information here</a><br>",148,2
"9038","kenneth judd","Stanford","Agree","7","",148,2
"9039","anil kashyap","Chicago","Agree","3","Have to trade off the costs of the likely extra usage against savings from wasted resources trying to stop the inevitable. <br>",148,2
"9040","pete klenow","Stanford","Agree","3","<a href=""http://www.nber.org/papers/w16776.pdf"" target=""_blank-see background information here</a><br>",148,2
"9041","edward lazear","Stanford","Uncertain","5","Two issues confound this. The effect of lower prices and more availability on the young and drug tourism.<br>",148,2
"9042","jonathan levin","Stanford","No Opinion","","Must be better approaches to drug policy, but don't have an informed view on this one.<br>",148,2
"9043","eric maskin","Harvard","Agree","7","",148,2
"9044","william nordhaus","Yale","Strongly Agree","9","",148,2
"9045","maurice obstfeld","Berkeley","Agree","6","",148,2
"9046","cecilia rouse","Princeton","Did Not Answer","","",148,2
"9047","emmanuel saez","Berkeley","Agree","5","",148,2
"9048","jose scheinkman","Princeton","Agree","5","Although drug use would increase, the diminished use of violence should yield a net gain.<br>",148,2
"9049","richard schmalensee","MIT","Agree","3","Not at all simple: evidence weak, hard to weight various kinds of costs.<br>",148,2
"9050","hyun song-shin","Princeton","Did Not Answer","","",148,2
"9051","james stock","Harvard","Uncertain","1","",148,2
"9052","nancy stokey","Chicago","Strongly Agree","7","",148,2
"9053","richard thaler","Chicago","Strongly Agree","10","War on drugs dumber than invading Iraq in search of WMDs. Treat pot like booze. Would also lower prison population. <br>",148,2
"9054","christopher udry","Yale","Agree","8","<a href=""http://pubs.aeaweb.org/doi/pdfplus/10.1257/jep.9.4.175"" target=""_blank-see background information here</a><br>",148,2
"9055","luigi zingales","Chicago","Strongly Agree","7","",148,2
"9056","daron acemoglu","MIT","Uncertain","5","The question presumes that there is no possibility of debt restructuring that could keep debt to GDP stable and grant access to bond markets<br>",149,1
"9057","alberto alesina","Harvard","Strongly Agree","9","these rates are unsutainable but a program of deep structural reforms and budget tightening could reestablish credibilty of reduce spreads<br>",149,1
"9058","joseph altonji","Yale","Did Not Answer","","",149,1
"9059","alan auerbach","Berkeley","Agree","5","",149,1
"9060","david autor","MIT","No Opinion","","",149,1
"9061","katherine baicker","Chicago","No Opinion","","",149,1
"9062","marianne bertrand","Chicago","No Opinion","","",149,1
"9063","raj chetty","Stanford","Did Not Answer","","",149,1
"9064","judith chevalier","Yale","Agree","2","This is not really my area, though I nonetheless understand the question to be roughly true. <br>",149,1
"9065","janet currie","Princeton","No Opinion","","",149,1
"9066","david cutler","Harvard","No Opinion","","",149,1
"9067","angus deaton","Princeton","Agree","3","",149,1
"9068","darrell duffie","Stanford","Agree","4","Not necessarily ""sharply"" in time, but significantly over time, yes, absent some other big structural shift. <br>",149,1
"9069","aaron edlin","Berkeley","Agree","7","Italy as a problem likely to get worse before it gets better.<br>",149,1
"9070","barry eichengreen","Berkeley","Strongly Agree","9","",149,1
"9071","ray fair","Yale","No Opinion","","This question is too confusing to answer. <br>",149,1
"9072","pinelopi goldberg","Yale","Agree","6","",149,1
"9073","claudia goldin","Harvard","No Opinion","","",149,1
"9074","austan goolsbee","Chicago","Agree","7","not good. not good.<br>",149,1
"9075","michael greenstone","Chicago","Did Not Answer","","",149,1
"9076","robert hall","Stanford","Agree","7","Zero real GDP growth and huge outstanding debt make the deficit growth high even though Italy has a small primary surplus.<br>",149,1
"9077","bengt holmstrom","MIT","Agree","4","",149,1
"9078","caroline hoxby","Stanford","Agree","9","At those interest rates, Italy's interest payments will become an ever increasing share of its govt budget, under any plausible tax scenario<br>",149,1
"9079","kenneth judd","Stanford","No Opinion","","",149,1
"9080","anil kashyap","Chicago","Strongly Agree","10","Basic arithmetic of debt dynamics shows that this constellation cannot persist. <br>",149,1
"9081","pete klenow","Stanford","Agree","5","Debt 120%, deficit 4%, growth 4% (nominal) --&gt; ratio falling. Higher rates (say pushing the deficit on a path toward 8%) --&gt; ratio rising.<br><a href=""http://www.oecd.org/document/45/0"" target=""_blank-see background information here</a><br><a href=""3746"" target=""_blank-see background information here</a><br><a href=""en_2649_34109_45268653_1_1_1_1"" target=""_blank-see background information here</a><br><a href=""00.html"" target=""_blank-see background information here</a><br><a href=""http://www.economist.com/node/21541049"" target=""_blank-see background information here</a><br>",149,1
"9082","edward lazear","Stanford","Did Not Answer","","",149,1
"9083","jonathan levin","Stanford","Agree","3","Not sure about ""sharply"" but seems hard to lower debt-to-GDP at those interest rates without better growth prospects.<br>",149,1
"9084","eric maskin","Harvard","Agree","8","",149,1
"9085","william nordhaus","Yale","No Opinion","","",149,1
"9086","maurice obstfeld","Berkeley","Strongly Agree","10","Hard to imagine any feasible austerity plan that would work at 7% or more, given the negative effect on real GDP growth and inflation.<br>",149,1
"9087","cecilia rouse","Princeton","No Opinion","","",149,1
"9088","emmanuel saez","Berkeley","Agree","3","",149,1
"9089","jose scheinkman","Princeton","Did Not Answer","","",149,1
"9090","richard schmalensee","MIT","Uncertain","1","Simply have not done the necessary quantitative work.<br>",149,1
"9091","hyun song-shin","Princeton","Agree","8","",149,1
"9092","james stock","Harvard","Did Not Answer","","",149,1
"9093","nancy stokey","Chicago","Strongly Agree","9","",149,1
"9094","richard thaler","Chicago","No Opinion","","",149,1
"9095","christopher udry","Yale","No Opinion","","",149,1
"9096","luigi zingales","Chicago","Agree","6","",149,1
"9097","daron acemoglu","MIT","Uncertain","4","This question again rules out the possibility of debt restructuring. Also not clear that effective ECB commitments must be unlimited.<br>",149,2
"9098","alberto alesina","Harvard","Agree","9","italy needs deep domestic refroms and a solution of the eurpoean French-German impasse on the role of the ECB<br>",149,2
"9099","joseph altonji","Yale","Did Not Answer","","",149,2
"9100","alan auerbach","Berkeley","Disagree","5","",149,2
"9101","david autor","MIT","No Opinion","","",149,2
"9102","katherine baicker","Chicago","No Opinion","","",149,2
"9103","marianne bertrand","Chicago","Disagree","1","",149,2
"9104","raj chetty","Stanford","Did Not Answer","","",149,2
"9105","judith chevalier","Yale","Agree","2","Again, this is definitely not my area, and I might have preferred the question to include a ""likely"", but I believe it is likely to be true.<br>",149,2
"9106","janet currie","Princeton","No Opinion","","",149,2
"9107","david cutler","Harvard","Uncertain","1","",149,2
"9108","angus deaton","Princeton","Agree","3","",149,2
"9109","darrell duffie","Stanford","Uncertain","3","I am pessimistic, absent outside help, but this is a strong statement that Italy has no way at all to do it on its own. I'm uncertain.<br>",149,2
"9110","aaron edlin","Berkeley","Agree","7","Something big by way of a guarantee is the surest way to stability of italian bonds.<br>",149,2
"9111","barry eichengreen","Berkeley","Agree","5","",149,2
"9112","ray fair","Yale","Agree","4","Hard to know what others would take as credible. Really a psychological question. <br>",149,2
"9113","pinelopi goldberg","Yale","Agree","5","",149,2
"9114","claudia goldin","Harvard","No Opinion","","",149,2
"9115","austan goolsbee","Chicago","Agree","7","without growth, all the austerity you can muster will not solve the problem<br>",149,2
"9116","michael greenstone","Chicago","Did Not Answer","","",149,2
"9117","robert hall","Stanford","Agree","3","This is a question about Italian politics where I'm no expert, but progress so far in lowering real wages and improving TFP has been small.<br>",149,2
"9118","bengt holmstrom","MIT","Agree","5","Stabilization requires short-term outside liquidity support, a credible long-term fiscal plan along with lower interest rates. Go together.<br>",149,2
"9119","caroline hoxby","Stanford","Agree","8","A political economy question on the spending side! (The tax side is fairly clear.) It fits my knowledge of Italy's ability to cut spending<br>",149,2
"9120","kenneth judd","Stanford","No Opinion","","",149,2
"9121","anil kashyap","Chicago","Agree","7","Hard call, you can't say the country is insolvent -- but how will Italy roll all of its debt if there is no outside support? <br>",149,2
"9122","pete klenow","Stanford","Uncertain","5","",149,2
"9123","edward lazear","Stanford","Did Not Answer","","",149,2
"9124","jonathan levin","Stanford","Uncertain","2","",149,2
"9125","eric maskin","Harvard","Disagree","7","",149,2
"9126","william nordhaus","Yale","No Opinion","","",149,2
"9127","maurice obstfeld","Berkeley","Agree","8","Credibility is the key, so ""outside help"" to keep borrowing cost down would be a critical element in success of any austerity plan.<br>",149,2
"9128","cecilia rouse","Princeton","No Opinion","","",149,2
"9129","emmanuel saez","Berkeley","Agree","3","",149,2
"9130","jose scheinkman","Princeton","Did Not Answer","","",149,2
"9131","richard schmalensee","MIT","Uncertain","1","Simply have not done the necessary quantitative work.<br>",149,2
"9132","hyun song-shin","Princeton","Agree","8","",149,2
"9133","james stock","Harvard","Did Not Answer","","",149,2
"9134","nancy stokey","Chicago","Strongly Disagree","9","Modest spending cuts, together with substantial regulatory reform, would probably solve the problem. <br>",149,2
"9135","richard thaler","Chicago","No Opinion","","Above my pay grade. <br>",149,2
"9136","christopher udry","Yale","No Opinion","","",149,2
"9137","luigi zingales","Chicago","Agree","6","",149,2
"9138","daron acemoglu","MIT","Strongly Disagree","7","Linking health insurance to (current) employment distorts both labor market choices and health care decisions.<br>",150,1
"9139","alberto alesina","Harvard","Uncertain","5","",150,1
"9140","joseph altonji","Yale","Disagree","5","",150,1
"9141","alan auerbach","Berkeley","Strongly Disagree","9","",150,1
"9142","david autor","MIT","Strongly Disagree","8","We need consumers of healthcare to be *less* insulated from the price system, not more. The tax credit provides insulation and subsidy!<br>",150,1
"9143","katherine baicker","Chicago","Strongly Disagree","9","Creates distortion in both health and labor markets.<br>",150,1
"9144","marianne bertrand","Chicago","Disagree","5","",150,1
"9145","raj chetty","Stanford","Strongly Disagree","9","",150,1
"9146","judith chevalier","Yale","Strongly Disagree","10","There are giant distortions. <br>",150,1
"9147","janet currie","Princeton","Disagree","8","Subsidizing health insurance through the tax system causes people to be ""over-insured,"" and causes the system to cater to the over-insured.<br>",150,1
"9148","david cutler","Harvard","Strongly Disagree","10","Note that this is not a welfare statement. Many of the distortions are good (eg pooling benefits). And welfare requires a counterfactual.<br>",150,1
"9149","angus deaton","Princeton","Strongly Disagree","10","",150,1
"9150","darrell duffie","Stanford","Disagree","2","This seems an indirect approach. <br>",150,1
"9151","aaron edlin","Berkeley","Strongly Disagree","9","just to name one distortion, dental insurance is often bought when few employees would pay that much with their own money.<br>",150,1
"9152","barry eichengreen","Berkeley","Disagree","4","",150,1
"9153","ray fair","Yale","Strongly Disagree","10","",150,1
"9154","pinelopi goldberg","Yale","Disagree","9","Lowers the price of health insurance encouraging excessive health care spending. Contributes to rising h.c.costs. Benefits higher incomes.<br>",150,1
"9155","claudia goldin","Harvard","Strongly Disagree","5","There are many distortions of great consequence created by the policy.<br>",150,1
"9156","austan goolsbee","Chicago","Disagree","9","Pretty clear directionally but question as to how impactful is the distortion in magnitude.<br>",150,1
"9157","michael greenstone","Chicago","Strongly Disagree","8","likely increases labor supply and causes ""too much"" health care consumption for insured. i THINK the ""job lock"" literature didn't find much<br>",150,1
"9158","robert hall","Stanford","Strongly Disagree","7","Financing health care through employers is crazy. It's essential to move to a system where people pay for health, with some gov help.<br>",150,1
"9159","bengt holmstrom","MIT","Strongly Disagree","7","All selective subsidies create distortions.<br>",150,1
"9160","caroline hoxby","Stanford","Strongly Disagree","10","Tax prefs create job lock, prevent formation of a more competitive health insurance mkt, &amp; discourage insurance coverage among young workers<br>",150,1
"9161","kenneth judd","Stanford","Disagree","8","One significant possible distortion is a reduction in labor mobility.<br>",150,1
"9162","anil kashyap","Chicago","Strongly Disagree","5","Lock in is inefficient and there is no good reason to use the tax code to subsidize health insurance purchases. <br>",150,1
"9163","pete klenow","Stanford","Strongly Disagree","9","1. Subsidizes health spending. 2. Increases other marginal tax rates. 3. Reduces job mobility.<br><a href=""http://www.nber.org/papers/w13767"" target=""_blank-see background information here</a><br><a href=""http://dranove.wordpress.com/2008/03/07/the-800-pound-gorilla/"" target=""_blank-see background information here</a><br>",150,1
"9164","edward lazear","Stanford","Strongly Disagree","9","The is much evidence on this point and alternative proposals that could remove distortions and provide better health care incentives.<br>",150,1
"9165","jonathan levin","Stanford","Disagree","7","",150,1
"9166","eric maskin","Harvard","Disagree","8","The tax preference induces over-consumption of healthcare <br>",150,1
"9167","william nordhaus","Yale","Strongly Disagree","8","Many well documented distortions, including differential treatment of people, and not available when people most need it.<br>",150,1
"9168","maurice obstfeld","Berkeley","Disagree","5","",150,1
"9169","cecilia rouse","Princeton","Disagree","7","It likely distorts both health care decisions and the composition of total compensation.<br>",150,1
"9170","emmanuel saez","Berkeley","Disagree","7","Job lock distortion but not certain that tax preference is key factor making employers provide health care<br>",150,1
"9171","jose scheinkman","Princeton","Disagree","6","",150,1
"9172","richard schmalensee","MIT","Strongly Disagree","9","This is pretty basic, as is the fact that the distortions (econ speak for costs to society) are huge.<br>",150,1
"9173","hyun song-shin","Princeton","Uncertain","5","",150,1
"9174","james stock","Harvard","Disagree","6","",150,1
"9175","nancy stokey","Chicago","Strongly Disagree","8","",150,1
"9176","richard thaler","Chicago","Disagree","6","Yes the tax causes distortions but without Obamacare or some equivalent, we need health insurance provided by employers.<br>",150,1
"9177","christopher udry","Yale","Strongly Disagree","7","It is apparent that linking insurance to employment is distortionary. Measuring the magnitude of these distortions is a challenge. <br>",150,1
"9178","luigi zingales","Chicago","Strongly Disagree","9","",150,1
"9179","daron acemoglu","MIT","Agree","6","4 years ago I would have disagreed. Recent evidence (Autor Dorn Hanson) suggests yes.Caveat: costs from higher prices &amp; other inefficiencies<br><a href=""http://econ-www.mit.edu/files/6613"" target=""_blank-see background information here</a><br>",151,1
"9180","alberto alesina","Harvard","Disagree","6","",151,1
"9181","joseph altonji","Yale","Uncertain","6","The policies will boost demand for U.S. manufacturing, at least in short run. But other countries may retaliate.<br>",151,1
"9182","alan auerbach","Berkeley","Uncertain","3","",151,1
"9183","david autor","MIT","Disagree","4","Hard to believe this does much at all. But I'm speaking based on my prior. I've not seen any rigorous analysis.<br>",151,1
"9184","katherine baicker","Chicago","Disagree","5","",151,1
"9185","marianne bertrand","Chicago","Uncertain","5","",151,1
"9186","raj chetty","Stanford","Disagree","4","",151,1
"9187","judith chevalier","Yale","Uncertain","5","This is an empirical statement, tough to evaluate thoroughly. <br>",151,1
"9188","janet currie","Princeton","Disagree","6","If the ""buy American"" clause raises the price of public works, then fewer of them will be undertaken, which will undercut the mandate.<br>",151,1
"9189","david cutler","Harvard","Agree","4","",151,1
"9190","angus deaton","Princeton","Disagree","4","Seems wildly unlikely that the magnitude would be significant, even without retaliatory or GE effects,<br>",151,1
"9191","darrell duffie","Stanford","Agree","2","Seems to hard disagree with the statement as posed. But that does not at all mean that this is a good idea!<br>",151,1
"9192","aaron edlin","Berkeley","Did Not Answer","","",151,1
"9193","barry eichengreen","Berkeley","Disagree","5","",151,1
"9194","ray fair","Yale","No Opinion","","Question is too vague. <br>",151,1
"9195","pinelopi goldberg","Yale","Disagree","7","Highly unlikely. Strict enforcement would lead to retaliation and trade wars, hurting US employment. Lax enforcement would have small effect<br>",151,1
"9196","claudia goldin","Harvard","Uncertain","4","The impact is quite uncertain, depends on elasticities (degree of substitutability, price differences, impact on input prices, etc.).<br>",151,1
"9197","austan goolsbee","Chicago","Did Not Answer","","",151,1
"9198","michael greenstone","Chicago","Disagree","6","These campaigns may be able to tilt employment so that there is more manufacuting employment, but I suspect that the impact is not great.<br>",151,1
"9199","robert hall","Stanford","Did Not Answer","","",151,1
"9200","bengt holmstrom","MIT","Did Not Answer","","",151,1
"9201","caroline hoxby","Stanford","Strongly Disagree","10","While it is possible to write a model in which the intended effect would occur, govt purchases are too small a share to make a model work.<br>",151,1
"9202","kenneth judd","Stanford","Strongly Disagree","7","It raises costs which increases taxation. No net gain to anyone in the long run.<br>",151,1
"9203","anil kashyap","Chicago","Disagree","1","",151,1
"9204","pete klenow","Stanford","Strongly Disagree","7","Less than 0.1% according to one plausible calculation -- even ignoring possible retaliation (not to mention being a WTO violation).<br><a href=""http://wwww.iie.com/publications/pb/pb09-2.pdf"" target=""_blank-see background information here</a><br>",151,1
"9205","edward lazear","Stanford","Did Not Answer","","",151,1
"9206","jonathan levin","Stanford","Agree","4","Not aware of much evidence on this, but government purchases are substantial, so expect at least some effects.<br>",151,1
"9207","eric maskin","Harvard","Disagree","7","Such mandates are well-intentioned but quite inefficient<br>",151,1
"9208","william nordhaus","Yale","Uncertain","1","Too confusing.<br>",151,1
"9209","maurice obstfeld","Berkeley","Disagree","8","I don't think such mandates ever have much impact. In theory they lead the dollar to appreciate, crowding out any positive effect.<br>",151,1
"9210","cecilia rouse","Princeton","Uncertain","4","Given vagueness in the definition of whether a product is ""American"" I suspect this provision may be more symbolic than not. <br>",151,1
"9211","emmanuel saez","Berkeley","Uncertain","4","",151,1
"9212","jose scheinkman","Princeton","Did Not Answer","","",151,1
"9213","richard schmalensee","MIT","Disagree","4","There will surely be some positive effect, but I would be surprised if it were non-trivial.<br>",151,1
"9214","hyun song-shin","Princeton","Uncertain","7","",151,1
"9215","james stock","Harvard","Disagree","5","The exception in which ""buy American"" makes a difference is in military production for which the government is the main market.<br>",151,1
"9216","nancy stokey","Chicago","Disagree","3","",151,1
"9217","richard thaler","Chicago","No Opinion","","",151,1
"9218","christopher udry","Yale","Disagree","5","Likely increases employment in specific firms, but at relatively high cost. Effect on aggregate employment unclear to me.<br>",151,1
"9219","luigi zingales","Chicago","Strongly Disagree","5","",151,1
"9220","daron acemoglu","MIT","Strongly Agree","5","There is no reasonable Pigovian justification for mortgage deductions, which are not only distortionary but also generally regressive.<br>",152,1
"9221","joseph altonji","Yale","Agree","7","The interest deduction distorts consumption decisions in favor of housing and narrows the income tax base, requiring higher tax rates.<br>",152,1
"9222","alan auerbach","Berkeley","Strongly Agree","9","",152,1
"9223","david autor","MIT","Strongly Agree","9","",152,1
"9224","katherine baicker","Chicago","Agree","6","",152,1
"9225","marianne bertrand","Chicago","Agree","5","",152,1
